"kodjaz","akrcis","kodcis","chodnota","zkrtext","text","admplod","admnepo","zeme3"
"CS","CZEMALFA",1186,"SN","Senegal","Senegalská republika","1900-01-01","9999-09-09","SEN"
"CS","CZEMALFA",1186,"SO","Somálsko","Somálská federativní republika","1900-01-01","9999-09-09","SOM"
"CS","CZEMALFA",1186,"SR","Surinam","Surinamská republika","1900-01-01","9999-09-09","SUR"
"CS","CZEMALFA",1186,"SS","Jižní Súdán","Jihosúdánská republika","2012-01-01","9999-09-09","SSD"
"CS","CZEMALFA",1186,"ST","Svatý Tomáš a Princův ostrov","Demokratická republika Svatý Tomáš a Princův ostrov","1900-01-01","9999-09-09","STP"
"CS","CZEMALFA",1186,"SV","Salvador","Salvadorská republika","1900-01-01","9999-09-09","SLV"
"CS","CZEMALFA",1186,"SX","Svatý Martin (NL)","Svatý Martin (NL)","2011-07-01","9999-09-09","SXM"
"CS","CZEMALFA",1186,"SY","Sýrie","Syrská arabská republika","1900-01-01","9999-09-09","SYR"
"CS","CZEMALFA",1186,"SZ","Svazijsko","Svazijské království","1900-01-01","9999-09-09","SWZ"
"CS","CZEMALFA",1186,"TC","Turks a Caicos","Ostrovy Turks a Caicos","1900-01-01","9999-09-09","TCA"
"CS","CZEMALFA",1186,"TD","Čad","Čadská republika","1900-01-01","9999-09-09","TCD"
"CS","CZEMALFA",1186,"TF","Francouzská jižní a antarktická území","Francouzská jižní a antarktická území","1900-01-01","9999-09-09","ATF"
"CS","CZEMALFA",1186,"TG","Togo","Tožská republika","1900-01-01","9999-09-09","TGO"
"CS","CZEMALFA",1186,"TH","Thajsko","Thajské království","1900-01-01","9999-09-09","THA"
"CS","CZEMALFA",1186,"TJ","Tádžikistán","Republika Tádžikistán","1900-01-01","9999-09-09","TJK"
"CS","CZEMALFA",1186,"TK","Tokelau","Tokelau","1900-01-01","9999-09-09","TKL"
"CS","CZEMALFA",1186,"TL","Východní Timor","Demokratická republika Východní Timor","2004-01-01","9999-09-09","TLS"
"CS","CZEMALFA",1186,"TM","Turkmenistán","Turkmenistán","1900-01-01","9999-09-09","TKM"
"CS","CZEMALFA",1186,"TN","Tunisko","Tuniská republika","1900-01-01","9999-09-09","TUN"
"CS","CZEMALFA",1186,"TO","Tonga","Království Tonga","1900-01-01","9999-09-09","TON"
"CS","CZEMALFA",1186,"TR","Turecko","Turecká republika","1900-01-01","9999-09-09","TUR"
"CS","CZEMALFA",1186,"TT","Trinidad a Tobago","Republika Trinidad a Tobago","1900-01-01","9999-09-09","TTO"
"CS","CZEMALFA",1186,"TV","Tuvalu","Tuvalu","1900-01-01","9999-09-09","TUV"
"CS","CZEMALFA",1186,"TW","Tchaj-wan","Tchaj-wan","1900-01-01","9999-09-09","TWN"
"CS","CZEMALFA",1186,"TZ","Tanzanie","Tanzanská sjednocená republika","1900-01-01","9999-09-09","TZA"
"CS","CZEMALFA",1186,"UA","Ukrajina","Ukrajina","1900-01-01","9999-09-09","UKR"
"CS","CZEMALFA",1186,"UG","Uganda","Ugandská republika","1900-01-01","9999-09-09","UGA"
"CS","CZEMALFA",1186,"UM","Menší odlehlé ostrovy USA","Menší odlehlé ostrovy USA","1900-01-01","9999-09-09","UMI"
"CS","CZEMALFA",1186,"US","Spojené státy","Spojené státy americké","1900-01-01","9999-09-09","USA"
"CS","CZEMALFA",1186,"UY","Uruguay","Uruguayská východní republika","1900-01-01","9999-09-09","URY"
"CS","CZEMALFA",1186,"UZ","Uzbekistán","Republika Uzbekistán","1900-01-01","9999-09-09","UZB"
"CS","CZEMALFA",1186,"VA","Vatikán","Vatikánský městský stát","1900-01-01","9999-09-09","VAT"
"CS","CZEMALFA",1186,"VC","Svatý Vincenc a Grenadiny","Svatý Vincenc a Grenadiny","1900-01-01","9999-09-09","VCT"
"CS","CZEMALFA",1186,"VE","Venezuela","Bolívarovská republika Venezuela","1900-01-01","9999-09-09","VEN"
"CS","CZEMALFA",1186,"VG","Britské Panenské ostrovy","Britské Panenské ostrovy","1900-01-01","9999-09-09","VGB"
"CS","CZEMALFA",1186,"VI","Americké Panenské ostrovy","Americké Panenské ostrovy","1900-01-01","9999-09-09","VIR"
"CS","CZEMALFA",1186,"VN","Vietnam","Vietnamská socialistická republika","1900-01-01","9999-09-09","VNM"
"CS","CZEMALFA",1186,"VU","Vanuatu","Republika Vanuatu","1900-01-01","9999-09-09","VUT"
"CS","CZEMALFA",1186,"WF","Wallis a Futuna","Teritorium Wallisovy ostrovy a Futuna","1900-01-01","9999-09-09","WLF"
"CS","CZEMALFA",1186,"WS","Samoa","Nezávislý stát Samoa","1900-01-01","9999-09-09","WSM"
"CS","CZEMALFA",1186,"XK","Kosovo","Kosovská republika","2011-01-01","9999-09-09","XXK"
"CS","CZEMALFA",1186,"YE","Jemen","Jemenská republika","1900-01-01","9999-09-09","YEM"
"CS","CZEMALFA",1186,"YT","Mayotte","Departement Mayotte","1994-01-01","9999-09-09","MYT"
"CS","CZEMALFA",1186,"ZA","Jižní Afrika","Jihoafrická republika","1900-01-01","9999-09-09","ZAF"
"CS","CZEMALFA",1186,"ZM","Zambie","Zambijská republika","1900-01-01","9999-09-09","ZMB"
"CS","CZEMALFA",1186,"ZW","Zimbabwe","Zimbabwská republika","1900-01-01","9999-09-09","ZWE"
